vpid,artist
b00xynt9,Orchestral Manoeuvres in the Dark
b00xynt9,Queen
b00xynt9,Soft Machine
b00xynt9,Sparklehorse
b00xynt9,THE TORNADOS
b00xynt9,The Beatles
b00xynt9,The Moody Blues
b00xynt9,The Shangri‐Las
b00xynt9,The Troggs
b00xynt9,The Who
b00xynt9,XTC
b00xynt9,Yes
b00xyvq7,BOBBY VEE
b00xyvq7,Dion & The Belmonts
b00xyvq7,Earl-Jean
b00xyvq7,Guillemots
b00xyvq7,Jerry Landis
b00xyvq7,Pink Floyd
b00xyvq7,Ricky Nelson
b00xyvq7,Simon & Garfunkel & TOM & JERRY
b00xyvq7,Stan Freberg
b00xyvq7,THE CRYSTALS
b00xyvq7,The Chiffons
b00xyvq7,The Drifters
b00xyvq7,The Everly Brothers
b00xyvq7,The Exciters
b00xyvq7,The Jam
b00xyvq7,The Orlons
b00xyvq7,The Paris Sisters
b00xyvq7,The Ronettes
b00xyvq7,The Shangri‐Las
b00xyvq7,The Shirelles
b00xyvq7,Tony Orlando
b00xyvq7,XTC
b00xywcb,(WE'RE GONNA) ROCK AROUND THE CLOCK
b00xywcb,Bill Haley and His Comets
b00xywcb,Bill Justis
b00xywcb,Billy Fury
b00xywcb,Buddy Holly
b00xywcb,Chuck Berry
b00xywcb,Elvis Presley
b00xywcb,John Barry Seven Plus Four
b00xywcb,Johnny Kidd and The Pirates
b00xywcb,Lonnie Donegan & His Skiffle Group
b00xywcb,Lonnie Donegan
b00xywcb,Paul McCartney
b00xywcb,Sir Cliff Richard & The Drifters
b00xywcb,Sir Cliff Richard
b00xywcb,THE SHADOWS
b00xywcb,THE TORNADOS
b00xywcb,The Beatles
b00xywcb,The Coasters
b00xywcb,The Jam
b00xywcb,The Vernons Girls
b00xywcb,The White Stripes
b00xywcb,Tommy Steele
b00xywcb,Whistle
b00xywcb,XTC
b00xywf6,George Harrison
b00xywf6,George Martin Orchestra
b00xywf6,Gerry & The Pacemakers
b00xywf6,New Order
b00xywf6,Oasis
b00xywf6,ROYAL PHILHARMONIC POPS ORCH. C/B DAVID ARNOLD
b00xywf6,The Beatles
b00xywf6,The Go‐Betweens
b00xywf6,The Vernons Girls
b00xywf6,XTC
b00y38g0,David Bowie
b00y38g0,Fairport Convention
b00y38g0,John's Children
b00y38g0,Led Zeppelin
b00y38g0,Madness
b00y38g0,Marquis of Kensington
b00y38g0,Pink Floyd
b00y38g0,Procol Harum
b00y38g0,Roy Harper
b00y38g0,SL2
b00y38g0,T. Rex
b00y38g0,The Jesus and Mary Chain
b00y38g0,The Kinks
b00y38g0,Traffic
b00y38g0,XTC
b00y38gy,ABBA
b00y38gy,David Bowie
b00y38gy,Elton John
b00y38gy,Elvis Costello & The Attractions
b00y38gy,Foo Fighters
b00y38gy,Frank Turner
b00y38gy,Iggy Pop
b00y38gy,Larry Lurex
b00y38gy,New Order
b00y38gy,Primal Scream
b00y38gy,QUEEN
b00y38gy,Roxy Music
